song_name,video_id,title,artist,release_date,views,likes,comments,error
Shut up My Moms Calling,J4ANQfaf_gc,Hotel Ugly - Shut Up My Moms Calling (Lyrics),Lost Panda,2023-08-29T11:34:48Z,12424282,91339,903,
Young And Beautiful,o_1aF54DO60,Lana Del Rey - Young and Beautiful,LanaDelReyVEVO,2013-05-10T07:01:10Z,676491564,5116987,123818,
Something Just Like This,FM7MFYoylVs,The Chainsmokers &amp; Coldplay - Something Just Like This (Lyric),ChainsmokersVEVO,2017-02-22T21:15:00Z,2362328751,11115902,287663,
The Hills,yzTuBuRdAyA,The Weeknd - The Hills,TheWeekndVEVO,2015-05-27T13:00:03Z,2190830078,13022370,321407,
love.,9PBZy9j3H3I,Keyshia Cole - Love (Alt. Version) (Official Music Video),KeyshiaColeVEVO,2009-06-16T22:55:15Z,194792813,1559260,31507,
There's Nothing Holdin' Me Back,Bt6TmXqRCb4,Shawn Mendes ‒ There&#39;s Nothing Holding Me Back (Lyrics),Unique Sound,2021-08-28T18:08:18Z,64995039,458815,7539,
Super Shy,ArmDp-zijuc,NewJeans (뉴진스) &#39;Super Shy&#39; Official MV,HYBE LABELS,2023-07-07T03:58:10Z,232665806,2804083,63977,
When I Was Your Man,sjr64vdMw9M,˓  thaisub  ˒ When i was your man — Bruno Mars แปลไทย,fungsii_,2021-01-15T12:48:47Z,1002367,20709,76,
One Last Time,WnQISv7I7tw,[THAISUB] One Last Time - Ariana Grande (แปลไทย),Jao Swiftie Translate,2021-05-21T17:34:37Z,305796,4288,11,
Locked out of Heaven,e-fA-gBCkj0,Bruno Mars - Locked Out Of Heaven (Official Music Video),Bruno Mars,2012-10-15T19:03:03Z,1135990067,7188078,183186,
Heather,aVgyQOVMTD0,[THAISUB] Heather - Conan Gray,MOODLY,2020-08-26T12:00:00Z,8770582,108993,687,
Hype Boy,11cta61wi0g,NewJeans (뉴진스) &#39;Hype Boy&#39; Official MV (Performance ver.1),HYBE LABELS,2022-08-18T09:00:01Z,210750308,1653058,23386,
Breakin' Dishes,LO71pC20BDI,Breakin&#39; Dishes,Rihanna - Topic,2018-07-23T18:36:56Z,57747796,627982,3537,
Love Me,KY44zvhWhp4,"Lil Wayne - Love Me (Explicit Version/Closed Captioned) ft. Drake, Future",LilWayneVEVO,2013-02-15T00:55:07Z,586141019,3604244,122108,
Sweater Weather,GCdwKhTtNNw,The Neighbourhood - Sweater Weather (Official Video),TheNeighbourhoodVEVO,2013-03-05T08:01:03Z,867020185,8710194,172506,
Rebirth (Intro),acWdVkYOzBs,Rebirth (Intro),Jimin - Topic,2024-07-19T04:00:02Z,4027667,152393,0,
How Sweet,Q3K0TOvTOno,NewJeans (뉴진스) &#39;How Sweet&#39; Official MV,HYBE LABELS,2024-05-24T07:00:00Z,54984707,1008363,78871,
Summertime Sadness,TdrL3QxjyVw,Lana Del Rey - Summertime Sadness (Official Music Video),LanaDelReyVEVO,2013-08-23T10:38:53Z,644656353,6903805,147019,
Blinding Lights,4NRXx6U8ABQ,The Weeknd - Blinding Lights (Official Video),TheWeekndVEVO,2020-01-21T18:00:10Z,910258708,10563293,317302,
Counting Stars,hT_nvWreIhg,OneRepublic - Counting Stars,OneRepublicVEVO,2013-05-31T07:00:36Z,4126106105,18346677,519218,
happier,ZQFmRXgeR-s,Olivia Rodrigo - happier (Lyric Video),OliviaRodrigoVEVO,2021-05-21T04:00:10Z,212446675,2434070,39752,
Say Yes To Heaven,3P6JNWAkLeM,[Thaisub] Say Yes To Heaven - Lana Del Rey (แปลไทย),RAKPHELNG SAKL,2023-05-18T23:00:03Z,718265,10321,49,
No One Noticed,2lwEzBoFMPQ,แปลไทย The Marías - No One Noticed | (Lyrics Thaisub),Alune,2025-01-19T10:44:30Z,4119,141,5,
Circles,wXhTHyIgQ_U,Post Malone - Circles (Official Music Video),PostMaloneVEVO,2019-09-03T17:00:11Z,723197338,5510128,127162,
a thousand years,rtOvBOTyX00,Christina Perri - A Thousand Years [Official Music Video],Christina Perri,2011-10-26T20:55:17Z,2595660150,15902172,543674,
Boom Boom Bass,z3mhB8jHNdM,RIIZE 라이즈 &#39;Boom Boom Bass&#39; Dance Practice,RIIZE,2024-06-26T13:01:07Z,3366950,95331,2420,
Interlude : Showtime,JzXiukc6DEc,interlude IV (Showtime),Zach Callison - Topic,2018-07-18T21:13:16Z,9604943,184587,5201,
As It Was,H5v3kku4y6Q,Harry Styles - As It Was (Official Video),HarryStylesVEVO,2022-03-31T23:00:10Z,809309327,8454189,211409,
Heat Waves,mRD0-GxqHVo,Glass Animals - Heat Waves (Official Video),GlassAnimalsVEVO,2020-06-29T18:30:09Z,769616003,9083711,191983,
New Jeans,,,,,,,,Unexpected error: 'videoId'
we fell in love in october,iggmiF7DNoM,girl in red - we fell in love in october,girl in red,2018-11-21T17:16:14Z,156382547,3149965,80698,
Demons,mWRsgZuwf_8,Imagine Dragons - Demons (Official Music Video),ImagineDragonsVEVO,2013-05-07T15:40:06Z,1195139417,8577514,254146,
Somewhere Only We Know,Oextk-If8HQ,Keane - Somewhere Only We Know (Official Music Video),KeaneVEVO,2009-10-09T03:16:18Z,776738207,5212448,129107,
Love,9PBZy9j3H3I,Keyshia Cole - Love (Alt. Version) (Official Music Video),KeyshiaColeVEVO,2009-06-16T22:55:15Z,194793568,1559261,31507,
Woman,2V_uAAAH-_Q,Doja Cat - Woman (Visualizer),dojacatVEVO,2021-06-25T04:00:01Z,142479656,1501066,18372,
EASY,0XRrYgByp28,Easy,Commodores - Topic,2018-07-31T13:09:20Z,4329911,68226,649,
Poker Face,bESGLojNYSo,Lady Gaga - Poker Face (Official Music Video),LadyGagaVEVO,2009-12-20T03:05:36Z,1468919006,7811019,315840,
Romantic Homicide,83MOqrzeF4E,d4vd - Romantic Homicide (Lyrics),7clouds Chill,2023-04-24T16:52:34Z,1520356,16800,1475,
I Was Never There,Zyfw159iOGI,I Was Never There - The Weeknd (FT. Gesaffelstein) (Thaisub),listentoyourheart,2022-07-26T19:57:36Z,273368,4226,22,
Supernatural,4bwnO0FQp1s,Ariana Grande - supernatural (lyric visualizer),ArianaGrandeVevo,2024-03-08T05:00:02Z,13939131,188892,6327,
Someone You Loved,zABLecsR5UE,Lewis Capaldi - Someone You Loved,LewisCapaldiVEVO,2019-08-29T17:00:11Z,997165900,9931019,187584,
Daylight,u9raS7-NisU,Taylor Swift - Daylight (Official Audio),TaylorSwiftVEVO,2019-08-23T04:00:07Z,73918919,619903,12644,
Real Man,nl0e7yzOUwM,Real Man,Beabadoobee - Topic,2024-08-08T10:02:09Z,14467436,265335,2699,
Thinking out Loud,XMPgVZtADtQ,Ed Sheeran - Thinking out Loud (Lyrics),7clouds,2022-12-28T17:40:26Z,8408956,66109,1362,
Viva La Vida,dvgZkm1xWPE,Coldplay - Viva La Vida (Official Video),Coldplay,2008-08-04T09:36:03Z,961968568,5590311,301197,
Call Out My Name,1xda50Ije_Q,The Weeknd - Call Out My Name (Lyrics),Cakes & Eclairs,2022-12-09T11:06:50Z,8673607,63451,822,
BANG BANG BANG,2ips2mM7Zqw,BIGBANG - 뱅뱅뱅 (BANG BANG BANG) M/V,BIGBANG,2015-06-01T15:00:00Z,743374356,7598945,402845,
ocean eyes,HQitbbtPZz8,Billie Eilish - Ocean Eyes (Lyrics),7clouds,2018-08-12T18:12:14Z,41178611,318354,7771,
lovely (with Khalid),V1Pl8CzNzCw,"Billie Eilish, Khalid - lovely",BillieEilishVEVO,2018-04-26T16:00:02Z,2172595525,27727950,636215,
Juno,1aMCVgRKcP4,Sabrina Carpenter - Juno (Official Lyric Video),SabrinaCarpenterVEVO,2024-08-23T04:00:04Z,20050697,205949,5175,
Brooklyn Baby,JhLG1Bbe4ks,Lana Del Rey - Brooklyn Baby (Lyrics),HIGH VIBES,2021-11-26T06:30:41Z,5370571,50771,916,
Flowers,G7KNmW9a75Y,Miley Cyrus - Flowers (Official Video),MileyCyrusVEVO,2023-01-13T00:00:09Z,990904621,8528869,209607,
the perfect pair,NIMAVkq3rYs,[THAISUB] the perfect pair - beabadoobee,MOODLY,2022-10-26T11:00:13Z,66364,2030,14,
Story of My Life,W-TE_Ys4iwM,One Direction - Story of My Life,OneDirectionVEVO,2013-11-03T16:00:02Z,1039019793,8490731,762157,
Save Your Tears,XXYlFuWEuKI,The Weeknd - Save Your Tears (Official Music Video),TheWeekndVEVO,2021-01-05T17:00:12Z,1858258541,10055868,320553,
Streets,jJdlgKzVsnI,Doja Cat - Streets (Official Video),dojacatVEVO,2021-03-09T05:00:12Z,362517498,4285804,104399,
Believer,7wtfhZwyrcc,Imagine Dragons - Believer (Official Music Video),ImagineDragonsVEVO,2017-03-07T14:00:00Z,2784120262,22424180,649140,
Set Fire to the Rain,a2giXO6eyuI,Set Fire to the Rain,Adele - Topic,2015-03-04T12:54:16Z,243045846,1857506,15113,
Attention,nfs8NYg7yQM,Charlie Puth - Attention [Official Video],Charlie Puth,2017-04-24T17:00:05Z,1643837548,11315530,252969,
きらり,TcLLpZBWsck,Fujii Kaze - Kirari (Official Video),Fujii Kaze,2021-05-21T13:00:11Z,143764916,1116707,36310,
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),XQM71BafJog,Popular (From The Idol Vol. 1 (Music from the HBO Original Series)),The Weeknd - Topic,2023-06-10T04:01:10Z,3390527,39900,241,
Too Good At Goodbyes,J_ub7Etch2U,Sam Smith - Too Good At Goodbyes,SamSmithVEVO,2017-09-18T10:00:01Z,1526203411,7321395,140964,
Somebody's Pleasure,cMqfTJdbXpY,Aziz Hedra - Somebody&#39;s Pleasure (Official Music Video),AzizHedraaVEVO,2023-02-10T08:00:11Z,23617124,185134,3404,
Judas,OTmJmteT7hw,Lady Gaga - Judas (Lyrics),Taj Tracks,2020-12-24T14:33:17Z,35553618,325356,11435,
Say You Won't Let Go,0yW7w8F2TVA,James Arthur - Say You Won&#39;t Let Go,JamesAVEVO,2016-09-09T07:00:00Z,1724561066,9236447,187688,
Beautiful Things,Oa_RSwwpPaA,Benson Boone - Beautiful Things (Official Music Video),Benson Boone,2024-01-18T23:00:13Z,532335026,4532860,98584,
CHIHIRO,BY_XwvKogC8,Billie Eilish - CHIHIRO (Official Music Video),BillieEilishVEVO,2024-06-06T16:00:07Z,88883099,1604981,35663,
"What Was I Made For? [From The Motion Picture ""Barbie""]",cW8VLC9nnTo,Billie Eilish - What Was I Made For? (Official Music Video),BillieEilishVEVO,2023-07-13T14:00:10Z,202774224,3135707,93408,
ETA,jOTfBlKSQYY,NewJeans (뉴진스) &#39;ETA&#39; Official MV,HYBE LABELS,2023-07-21T03:58:10Z,95312902,1420790,37593,
Bubble Gum,ft70sAYrFyY,NewJeans (뉴진스) &#39;Bubble Gum&#39; Official MV,HYBE LABELS,2024-04-26T15:00:01Z,68846513,1547485,107053,
It Will Rain,neVe5CIe1Xg,Bruno Mars - It Will Rain (Lyrics),Pizza Music,2024-10-03T16:26:20Z,5181323,13689,353,
The Nights,UtF6Jej8yb4,Avicii - The Nights,AviciiOfficialVEVO,2014-12-15T17:00:05Z,949641658,10219182,338357,
Skyfall,DeumyOzKqgI,Adele - Skyfall (Official Lyric Video),AdeleVEVO,2012-10-18T16:04:00Z,704837579,4885832,158520,
West Coast,oKxuiw3iMBE,Lana Del Rey - West Coast,LanaDelReyVEVO,2014-05-07T15:33:46Z,222811709,1726770,32870,
Danza Kuduro,7zp1TbLFPp8,Don Omar - Danza Kuduro ft. Lucenzo,DonOmarVEVO,2010-08-11T20:39:10Z,1580893976,7032165,265350,
Lady Killers II,XTT5MIkhEY4,G-Eazy - Lady Killers II (Christoph Andersson Remix) (Lyrics),7clouds,2024-04-17T14:01:28Z,13204459,89045,1434,
Atlantis,gVAy3IZiL0s,Seafret - Atlantis (Official Video),SeafretVEVO,2015-04-22T08:29:05Z,114157892,1407444,17559,
Call Me Maybe,fWNaR-rxAic,Carly Rae Jepsen - Call Me Maybe,CarlyRaeJepsenVEVO,2012-03-01T23:21:04Z,1704095620,9727767,656600,
Car's Outside,zh6Co7taC3k,[ThaiSub] Car’s Outside - James Arthur (แปลเพลง),hi sleepy pie,2022-08-29T15:23:03Z,374759,7807,43,
Rewrite The Stars (with James Arthur & Anne-Marie),pRfmrE0ToTo,Anne-Marie &amp; James Arthur - Rewrite The Stars [from The Greatest Showman: Reimagined],Anne-Marie,2018-11-16T14:00:21Z,642173109,4513294,69892,
Reflections,x47TgeRJtH0,The Neighbourhood - Reflections (Official Audio),TheNeighbourhoodVEVO,2018-03-09T05:01:01Z,57228024,675217,7286,
LUNCH,MB3VkzPdgLA,Billie Eilish - LUNCH (Official Music Video),BillieEilishVEVO,2024-05-17T16:00:06Z,63299356,1346395,60456,
A Sky Full of Stars,VPRjCeoBqrI,Coldplay - A Sky Full Of Stars (Official Video),Coldplay,2014-06-19T12:13:08Z,971631524,4570812,95367,
Get A Guitar,iUw3LPM7OBU,RIIZE 라이즈 &#39;Get A Guitar&#39; MV,SMTOWN,2023-09-04T09:00:24Z,52169867,662654,41769,
Softcore,ggG9ySCChYw,The Neighbourhood - Softcore (Official Audio),TheNeighbourhoodVEVO,2018-03-09T05:01:00Z,80244650,1050112,11025,
Rolling in the Deep,rYEDA3JcQqw,Adele - Rolling in the Deep (Official Music Video),AdeleVEVO,2010-11-30T23:29:12Z,2636209326,13657105,441254,
The Scientist,RB-RcX5DS5A,Coldplay - The Scientist (Official 4K Video),Coldplay,2011-05-27T16:20:57Z,1257801950,6305719,139007,
Like Crazy,nOI67IDlNMQ,지민 (Jimin) &#39;Like Crazy&#39; Official MV,HYBE LABELS,2023-03-24T03:59:08Z,159733355,4359787,461042,
Always Remember Us This Way,5vheNbQlsyU,Lady Gaga - Always Remember Us This Way (from A Star Is Born) (Official Music Video),LadyGagaVEVO,2018-11-09T05:00:01Z,628593686,3386736,69303,
Timber,hHUbLv4ThOo,"Pitbull, Ke$ha - Timber (featuring Ke$ha - Official Video)",PitbullVEVO,2013-11-25T18:19:53Z,1532416604,6203489,165620,
Shivers,Nnl-qn3vlLU,Ed Sheeran - Shivers (Lyrics),TrendingTracks,2021-09-09T23:23:36Z,5271232,35166,1142,
If I Ain't Got You,P1pIzbHC1Z4,Alicia Keys - If I Ain&#39;t Got You (Lyrics),7clouds,2024-01-28T13:06:56Z,4291090,29093,435,
I'm Good (Blue),90RLzVUuXe4,David Guetta &amp; Bebe Rexha - I&#39;m Good (Blue) [Official Music Video],David Guetta,2022-09-20T15:00:12Z,335586758,2740384,48068,
Diet Mountain Dew,cuVVSvUet_Q,Lana Del Rey -​ Diet Mountain Dew​ [ แปลไทย ]​ thaisub,pinkle pump,2024-01-22T13:22:16Z,201133,4553,28,
Bad Romance,qrO4YZeyl0I,Lady Gaga - Bad Romance (Official Music Video),LadyGagaVEVO,2009-11-24T08:15:30Z,1910230284,9549523,915806,
Dancing In The Flames,MLlSSJ0z7xM,The Weeknd - Dancing In The Flames (Official Music Video),TheWeekndVEVO,2024-09-13T04:00:08Z,64927672,631896,27817,
Beggin',W2MpGCL8-9o,Måneskin - Beggin&#39; (Lyrics/Testo),LatinHype,2021-07-15T21:10:57Z,192103383,1668516,21429,
Come Inside Of My Heart,bQIP-fG0RK0,[THAISUB/แปลไทย] Come Inside Of My Heart - IV OF SPADES,ILIKEYOU7,2021-11-30T20:20:50Z,585965,12004,112,
Daddy Issues,_lMlsPQJs6U,The Neighbourhood - Daddy Issues (Official Video),TheNeighbourhoodVEVO,2016-05-05T14:00:01Z,84722563,1377099,19790,
Easy On Me,U3ASj1L6_sY,Adele - Easy On Me (Official Video),AdeleVEVO,2021-10-14T23:00:11Z,398824225,7029493,252357,
Tumblr Girls (feat. Christoph Andersson),fu7NR1qe_Mk,G-Eazy - Tumblr Girls (Audio) ft. Christoph Andersson,GEazyMusicVEVO,2014-05-27T07:00:01Z,104456951,556472,11184,
All of Me,450p7goxZqg,John Legend - All of Me (Official Video),johnlegendVEVO,2013-10-02T14:00:06Z,2485037233,13543858,264269,
On The Floor,t4H_Zoh7G5A,Jennifer Lopez - On The Floor ft. Pitbull,JenniferLopezVEVO,2011-03-04T01:40:06Z,2500533986,10702690,491138,
One Dance,ki0Ocze98U8,Drake - One Dance (Lyrics) ft. Wizkid &amp; Kyla,Billion Stars,2020-09-14T12:27:53Z,319486022,2649806,31003,
