Track,Artist,Listeners,Playcount,Album,Tags,URL
seasons,wave to earth,407729,8836577,summer flows 0.02,"['indie', 'rock', 'folk', 'indie rock', 'Indie-Rock']",https://www.last.fm/music/wave+to+earth/_/seasons
Shape of You,Ed Sheeran,1070824,9673743,÷ (Deluxe),"['pop', '2017', 'dancehall', 'dance', '2010s']",https://www.last.fm/music/Ed+Sheeran/_/Shape+of+You
Bed Chem,Sabrina Carpenter,873918,14758977,Short n' Sweet [Clean] [Clean],"['pop', '2024', 'funk', 'female vocalists', 'dance']",https://www.last.fm/music/Sabrina+Carpenter/_/Bed+Chem
Magnetic,ILLIT,626139,15528689,SUPER REAL ME,"['Kpop', 'pluggnb', 'k-pop', 'soty', 'Korean']",https://www.last.fm/music/Illit/_/Magnetic
bad,wave to earth,266378,4185497,0.1 flaws and all.,"['Dreamy', 'soty', '2020s', 'batsie']",https://www.last.fm/music/wave+to+earth/_/bad
Perfect Night,LE SSERAFIM,516051,13547894,Perfect Night,"['k-pop', '2023', 'english', 'pop', 'Awesome']",https://www.last.fm/music/LE+SSERAFIM/_/Perfect+Night
Perfect,Ed Sheeran,831758,7191956,÷ (Deluxe),"['Ballad', 'pop', 'Love', 'soul', 'british']",https://www.last.fm/music/Ed+Sheeran/_/Perfect
End of Beginning,Djo,1296286,19774958,DECIDE,"['indie', 'MySpotigramBot', 'pop', 'psychedelic pop', 'Psychedelia']",https://www.last.fm/music/Djo/_/End+of+Beginning
Closer,"The Chainsmokers, Halsey",20152,95746,N/A,"['Awesome', 'Electronic Pop', 'Favorite']","https://www.last.fm/music/The+Chainsmokers,+Halsey/_/Closer"
Photograph,Ed Sheeran,1000087,9162186,x,"['pop', 'love at first listen', 'emotional', 'Ed Sheeran', 'best song of the world']",https://www.last.fm/music/Ed+Sheeran/_/Photograph
CRAZY,LE SSERAFIM,508484,10669806,CRAZY,"['House', 'k-pop', 'Kpop', 'pop', 'dance']",https://www.last.fm/music/LE+SSERAFIM/_/CRAZY
Please Please Please,Sabrina Carpenter,1300761,24998448,Please Please Please,"['pop', 'country pop', 'synthpop', 'female vocalist', 'yacht rock']",https://www.last.fm/music/Sabrina+Carpenter/_/Please+Please+Please
Payphone,"Maroon 5, Wiz Khalifa",1323518,11000693,Pop Party 10,"['maroon 5', 'pop', 'payphone', 'male vocalists', '2012']",https://www.last.fm/music/Maroon+5/_/Payphone
drunk text,Henry Moodie,107275,1044469,N/A,['linedance 2023'],https://www.last.fm/music/henry+moodie/_/Drunk+Text
SHEESH,BABYMONSTER,229604,4346906,BABYMONS7ER,"['Hip-Hop', 'rap', 'bop', 'Awesome', 'Korean']",https://www.last.fm/music/BABYMONSTER/_/SHEESH
Unforgettable,"French Montana, Swae Lee",12722,82619,N/A,[],"https://www.last.fm/music/French+Montana,+Swae+Lee/_/Unforgettable"
Yellow,Coldplay,2903055,28751872,Parachutes,"['rock', 'Coldplay', 'alternative', 'britpop', 'alternative rock']",https://www.last.fm/music/Coldplay/_/Yellow
FAKE LOVE,BTS,597272,76513938,LOVE YOURSELF 結 'Answer',"['Kpop', 'bts', 'k-pop', 'Korean', 'pop']",https://www.last.fm/music/BTS/_/FAKE+LOVE
Talking to the Moon,Bruno Mars,1173045,10295391,Doo-Wops & Hooligans,"['pop', 'Love', 'rnb', 'Ballad', 'Bruno Mars']",https://www.last.fm/music/Bruno+Mars/_/Talking+to+the+Moon
SPOT!,"ZICO, JENNIE",9552,195681,N/A,[],"https://www.last.fm/music/ZICO,+JENNIE/_/SPOT%21"
Armageddon,aespa,357161,9261604,Armageddon,"['k-pop', 'soty', 'Hip-Hop', 'Awesome', 'Korean']",https://www.last.fm/music/aespa/_/Armageddon
Love Yourself,Justin Bieber,959847,8017129,Purpose,"['pop', 'justin bieber', 'acoustic', 'love at first listen', 'Ed Sheeran']",https://www.last.fm/music/Justin+Bieber/_/Love+Yourself
Diet Pepsi,Addison Rae,579414,9745434,Diet Pepsi,"['pop', 'alt-pop', 'chillstep', 'rnb', 'peter']",https://www.last.fm/music/Addison+Rae/_/Diet+Pepsi
Drama,aespa,458262,13706739,Drama,"['soty', 'k-pop', 'Kpop', '2023', 'Korean']",https://www.last.fm/music/aespa/_/Drama
Too Sweet,Hozier,1047111,14482436,Unheard,"['irish', 'pop soul', 'us number one', '2024', 'seen live']",https://www.last.fm/music/Hozier/_/Too+Sweet
Ditto,NewJeans,745202,27160216,Ditto,"['k-pop', 'baltimore club', 'pop', 'contemporary rnb', 'atlanta bass']",https://www.last.fm/music/NewJeans/_/Ditto
Timeless (feat. Playboi Carti),"The Weeknd, Playboi Carti",1741,9020,N/A,[],"https://www.last.fm/music/The+Weeknd,+Playboi+Carti/_/Timeless+(feat.+Playboi+Carti)"
Sailor Song,Gigi Perez,727897,13425752,Sailor Song,"['indie folk', 'indie', 'folk', 'Love', 'fire']",https://www.last.fm/music/Gigi+Perez/_/Sailor+Song
OMG,NewJeans,754090,23552843,OMG,"['rnb', 'k-pop', 'pop', 'dance-pop', 'Kpop']",https://www.last.fm/music/NewJeans/_/OMG
Ghost,Justin Bieber,657142,8445494,Break Up Tunes,"['pop', 'dance', 'synth-pop', '2020s', '2021']",https://www.last.fm/music/Justin+Bieber/_/Ghost
Supernova,aespa,419709,13835776,Armageddon,"['electropop', 'k-pop', 'soty', 'dem jointz', 'pop']",https://www.last.fm/music/aespa/_/Supernova
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",20930,525861,N/A,"['pop', 'synth pop', 'Electro Pop', 'overrated', 'greedy']","https://www.last.fm/music/Taylor+Swift,+Post+Malone/_/Fortnight+(feat.+Post+Malone)"
Open Arms (feat. Travis Scott),"SZA, Travis Scott",19241,160500,N/A,[],"https://www.last.fm/music/SZA,+Travis+Scott/_/Open+Arms+(feat.+Travis+Scott)"
greedy,Tate McRae,916845,16433923,greedy,"['pop', 'dance-pop', 'Canadian', 'rnb', 'contemporary rnb']",https://www.last.fm/music/Tate+McRae/_/greedy
Shut up My Moms Calling,Hotel Ugly,1226277,17428609,Shut up My Moms Calling,"['MySpotigramBot', '-1001190477876', '-1001819731063', 'H Artist']",https://www.last.fm/music/Hotel+Ugly/_/Shut+up+My+Moms+Calling
Young And Beautiful,Lana Del Rey,1677697,20115008,The Dome: Summer 2013,"['indie', 'alternative', 'Lana Del Rey', 'female vocalists', 'The Great Gatsby']",https://www.last.fm/music/Lana+Del+Rey/_/Young+and+Beautiful
Something Just Like This,"The Chainsmokers, Coldplay",23940,119629,MNM 1000 (2019),"['Awesome', 'Favorite', 'alternative electronic']","https://www.last.fm/music/The+Chainsmokers,+Coldplay/_/Something+Just+Like+This"
The Hills,The Weeknd,1695769,20921274,Beauty Behind the Madness,"['rnb', 'electronic', 'dark', 'r&b', 'trap']",https://www.last.fm/music/The+Weeknd/_/The+Hills
love.,wave to earth,251880,4957060,0.1 flaws and all.,"['Love', 'rnb', 'yearning', 'krnb', 'mhokday']",https://www.last.fm/music/wave+to+earth/_/love.
There's Nothing Holdin' Me Back,Shawn Mendes,859094,7639659,Illuminate (Deluxe),"['pop', 'pop rock', '2017', 'dance', 'canada']",https://www.last.fm/music/Shawn+Mendes/_/There%27s+Nothing+Holdin%27+Me+Back
Super Shy,NewJeans,883367,22699112,Get Up,"['k-pop', 'Drum and bass', '2023', 'pop', 'dance-pop']",https://www.last.fm/music/NewJeans/_/Super+Shy
When I Was Your Man,Bruno Mars,1491947,13882337,Unorthodox Jukebox,"['pop', 'Bruno Mars', 'piano', 'american', 'Ballad']",https://www.last.fm/music/Bruno+Mars/_/When+I+Was+Your+Man
One Last Time,Ariana Grande,1168540,13151228,My Everything,"['pop', '2014', 'sad', 'female vocalists', 'heartbreak']",https://www.last.fm/music/Ariana+Grande/_/One+Last+Time
Locked out of Heaven,Bruno Mars,1940455,18581668,Unorthodox Jukebox,"['pop', 'Bruno Mars', 'rnb', '2012', '10s']",https://www.last.fm/music/Bruno+Mars/_/Locked+Out+of+Heaven
Heather,Conan Gray,1195312,16252701,Now 35,"['pop', 'sad', 'indie', 'folk', '2020']",https://www.last.fm/music/Conan+Gray/_/Heather
Hype Boy,NewJeans,662527,21976456,N/A,"['k-pop', 'future bass', 'dance-pop', 'rnb', 'Kpop']",https://www.last.fm/music/NewJeans/_/hype+boy
Breakin' Dishes,Rihanna,828248,7449189,Good Girl Gone Bad,"['rnb', 'pop', 'Rihanna', 'dance', 'female vocalists']",https://www.last.fm/music/Rihanna/_/Breakin%27+Dishes
Love Me,"Lil Wayne, Drake, Future",11173,75357,N/A,[],"https://www.last.fm/music/Lil+Wayne,+Drake,+Future/_/Love+Me"
Sweater Weather,The Neighbourhood,2341978,36945882,I'm Sorry...,"['indie', 'alternative', 'chill', ""can't stop listening"", 'summer']",https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather
Rebirth (Intro),Jimin,93575,9129238,N/A,"['bot', 'botted', 'botting']",https://www.last.fm/music/jimin/_/REBIRTH+(INTRO)
How Sweet,NewJeans,382924,7920159,How Sweet,"['miami bass', 'newjeans', 'acheimagra', 'Awesome', 'k-pop']",https://www.last.fm/music/NewJeans/_/How+Sweet
