Track,Artist,Listeners,Playcount,Album,Tags,URL
The Blonde,TV Girl,795954,9845849,French Exit,"['indie pop', 'psychedelic pop', 'psychedelic', 'wobbly', 'Perfection']",https://www.last.fm/music/TV+Girl/_/The+Blonde
Mount Everest,Labrinth,593203,5160545,Mount Everest,"['soul', 'rnb', 'trap', 'Hip-Hop', 'electronic']",https://www.last.fm/music/Labrinth/_/Mount+Everest
Apple Cider,beabadoobee,494944,7295030,Loveworm / Patched Up,"['indie', 'indie pop', 'indie rock', 'female vocalists', 'Love']",https://www.last.fm/music/beabadoobee/_/Apple+Cider
Sunsetz,Cigarettes After Sex,1160352,17808769,N/A,"['Dreamy', 'dream pop', 'indie', 'indie pop', 'shoegaze']",https://www.last.fm/music/Cigarettes+After+Sex/_/SUNSETZ
I Know You,Faye Webster,643408,9272499,Faye Webster,"['indie pop', 'Chill pop', 'my top songs', 'emmacore']",https://www.last.fm/music/Faye+Webster/_/I+Know+You
Femininomenon,Chappell Roan,828596,13350444,Femininomenon - Single,"['pop', 'electropop', 'synthpop', 'dance-pop', 'new rave']",https://www.last.fm/music/Chappell+Roan/_/Femininomenon
Into Your Arms (feat. Ava Max),"Witt Lowry, Ava Max",2349,12610,N/A,[],"https://www.last.fm/music/Witt+Lowry,+Ava+Max/_/Into+Your+Arms+(feat.+Ava+Max)"
Mind Over Matter (Reprise),Young the Giant,340348,3317992,Mirrorball / Mind Over Matter (Reprise),['MySpotigramBot'],https://www.last.fm/music/Young+the+Giant/_/Mind+Over+Matter+(Reprise)
4EVER,Clairo,889509,11325175,Flemme,"['female vocalist', 'alternative pop', 'electronic', 'indie', 'pop']",https://www.last.fm/music/Clairo/_/4EVER
Anchor,Novo Amor,518766,5077885,Bathing Beach,"['folk', 'indie folk', 'chillout', 'acoustic', 'ambient pop']",https://www.last.fm/music/Novo+Amor/_/Anchor
Chocolate,The 1975,787495,8313884,The 1975,"['indie', 'indie rock', 'love at first listen', 'british', '10s']",https://www.last.fm/music/The+1975/_/Chocolate
K.,Cigarettes After Sex,1120223,18030698,Cigarettes After Sex,"['dream pop', 'sex', 'BIRP', '2017', 'sound of 2018']",https://www.last.fm/music/Cigarettes+After+Sex/_/K.
Christmas Kids,Roar,539303,7184987,I Can't Handle Change,"['indie rock', 'indie', 'alternative', 'indie pop', 'christmas']",https://www.last.fm/music/ROAR/_/Christmas+Kids
Tired,beabadoobee,573137,6323251,Loveworm / Patched Up,"['indie pop', 'dream pop', 'art pop']",https://www.last.fm/music/beabadoobee/_/Tired
Fantastic (from the series Arcane League of Legends),"Arcane, King Princess",2179,20962,N/A,[],"https://www.last.fm/music/Arcane,+King+Princess/_/Fantastic+(from+the+series+Arcane+League+of+Legends)"
Can I Call You Tonight?,Dayglow,882396,10236711,Fuzzybrain,"['english', 'indie', 'pop', 'rock', 'indie pop']",https://www.last.fm/music/Dayglow/_/Can+I+Call+You+Tonight%3F
Maps,Yeah Yeah Yeahs,1417609,11865401,Fever To Tell,"['indie', 'indie rock', 'female vocalists', 'alternative', 'rock']",https://www.last.fm/music/Yeah+Yeah+Yeahs/_/Maps
August 10,Julie Doiron,181838,2052816,Broken Girl,"['indie', 'folk', 'female vocalists', 'canada', 'Lo-Fi']",https://www.last.fm/music/Julie+Doiron/_/August+10
Welcome to the Black Parade,My Chemical Romance,1684300,17336232,The Black Parade,"['rock', 'emo', 'alternative', 'punk rock', 'punk']",https://www.last.fm/music/My+Chemical+Romance/_/Welcome+to+the+Black+Parade
Be Quiet and Drive (Far Away),Deftones,1208890,18879909,Around the Fur,"['metal', 'alternative metal', 'Nu Metal', 'alternative rock', 'rock']",https://www.last.fm/music/Deftones/_/Be+Quiet+and+Drive+(Far+Away)
If We Have Each Other,Alec Benjamin,305244,2857861,Narrated for You,"['pop', 'singer-songwriter', 'teen pop', 'a']",https://www.last.fm/music/Alec+Benjamin/_/If+We+Have+Each+Other
Intolewd,Matt Maltese,701357,5307368,Krystal [Explicit],"['MySpotigramBot', 'my spotify']",https://www.last.fm/music/Matt+Maltese/_/Intolewd
Hidden In the Sand,Tally Hall,508623,4425067,Marvin's Marvelous Mechanical Museum,"['acoustic', 'indie', 'seen live', 'vocal', 'rock']",https://www.last.fm/music/Tally+Hall/_/Hidden+In+The+Sand
Paranoia,The Marías,247416,1885303,Submarine,"['dream pop', 'bedroom pop', 'pop rock', 'jangle pop', 'soft rock']",https://www.last.fm/music/The+Mar%C3%ADas/_/Paranoia
Back On 74,Jungle,604549,6052925,Volcano,"['electronic', 'soul', 'Neo Soul', 'FM4', 'Meyers']",https://www.last.fm/music/Jungle/_/Back+on+74
sex money feelings die,Lykke Li,488110,4397999,two nights / sex money feelings die,"['indie', 'indie pop', '2018', 'pop', 'trap']",https://www.last.fm/music/Lykke+Li/_/sex+money+feelings+die
You Are the Right One,Sports,546152,3768051,Naked All The Time,"['indie pop', 'Fave Indie Pop']",https://www.last.fm/music/Sports/_/You+Are+the+Right+One
Calling After Me,Wallows,376744,3479422,Model,[],https://www.last.fm/music/Wallows/_/Calling+After+Me
Gasoline,Halsey,487349,4267095,BADLANDS (Deluxe),"['electronic', 'electropop', 'indie pop', 'love at first listen', 'indie']",https://www.last.fm/music/Halsey/_/Gasoline
Coastline,Hollow Coves,238326,1593895,Wanderlust,"['indie', 'folk', 'Surf', 'Love', 'acoustic']",https://www.last.fm/music/Hollow+Coves/_/Coastline
Amoeba,Clairo,816314,13997311,Sling,"['rock', 'pop', 'folk', 'pop rock', 'soft rock']",https://www.last.fm/music/Clairo/_/Amoeba
Écoute Chérie,Vendredi sur Mer,242992,2077337,Écoute Chérie,"['Disco', 'french', 'pop', 'female vocalists', 'mel']",https://www.last.fm/music/Vendredi+sur+Mer/_/%C3%89coute+Ch%C3%A9rie
Bloom (Online Bonus Track),The Paper Kites,148444,1010324,N/A,"['folk', 'indie', 'contemporary folk', 'indie folk', 'mistagged by spotify']",https://www.last.fm/music/The+Paper+Kites/_/Bloom+(Online+Bonus+Track)
Wasteland (from the series Arcane League of Legends),"Arcane, Royal & the Serpent",1343,10481,N/A,[],"https://www.last.fm/music/Arcane,+Royal+&+the+Serpent/_/Wasteland+(from+the+series+Arcane+League+of+Legends)"
Sexy to Someone,Clairo,660102,7959217,Charm,"['pop soul', 'soft rock', 'bedroom pop', 'Sophisti-Pop', 'rnb']",https://www.last.fm/music/Clairo/_/Sexy+To+Someone
Again & Again,the bird and the bee,325530,2776798,The Bird and the Bee,"['indie', 'female vocalists', 'indie pop', 'chillout', 'electronic']",https://www.last.fm/music/The+Bird+and+the+Bee/_/Again+&+Again
anything,Adrianne Lenker,596639,11360787,N/A,"['singer-songwriter', 'indie folk', 'folk', '2020', 'indie']",https://www.last.fm/music/AdriAnne+Lenker/_/anything
Francis Forever,Mitski,1010832,19059614,Bury Me at Makeout Creek,"['rock', 'indie pop', 'indie rock', 'power pop', 'slacker rock']",https://www.last.fm/music/Mitski/_/Francis+Forever
Just,Radiohead,1638856,18389055,The Bends,"['alternative', 'alternative rock', 'rock', '90s', 'radiohead']",https://www.last.fm/music/Radiohead/_/Just
3 Nights,Dominic Fike,790681,9517480,Booom Summer 2019 [Explicit],"['pop', 'indie pop', 'alternative pop', 'indie', 'alternative']",https://www.last.fm/music/Dominic+Fike/_/3+Nights
Bitches,Mindless Self Indulgence,245280,2066419,Frankenstein Girls Will Seem Strangely Sexy,"['industrial', 'industrial jungle pussy punk', 'rock', 'punk', 'electronic']",https://www.last.fm/music/Mindless+Self+Indulgence/_/Bitches
Take A Bite,beabadoobee,509761,6918942,take a bite,"['indie pop', 'post-Britpop', 'alternative rock', 'pop rock', 'pop']",https://www.last.fm/music/beabadoobee/_/take+a+bite
Tongue Tied,GROUPLOVE,1370163,12783222,Never Trust A Happy Song,"['indie', 'indie pop', 'indie rock', 'alternative', 'rock']",https://www.last.fm/music/Grouplove/_/Tongue+Tied
For Cryin' Out Loud!,FINNEAS,133448,1101861,For Cryin' Out Loud!,[],https://www.last.fm/music/FINNEAS/_/For+Cryin%27+Out+Loud%21
My Kink Is Karma,Chappell Roan,737293,12395800,My Kink is Karma,"['pop', 'synthpop', 'electronic', 'electropop', 'indie']",https://www.last.fm/music/Chappell+Roan/_/My+Kink+Is+Karma
I'm so crazy for youuu </3,Rebzyyx,186265,2613286,I'm So Crazy For Youuu </3 - Single,"['hyperpop', 'euro-trance']",https://www.last.fm/music/Rebzyyx/_/I%27m+so+crazy+for+youuu+%3C%2F3
Formula,Labrinth,858848,8792235,Euphoria (Original Score from the HBO Series),"['Hip-Hop', 'electronic', 'rnb', 'euphoria', 'peter']",https://www.last.fm/music/Labrinth/_/Formula
Beaches,beabadoobee,321811,3456350,This Is How Tomorrow Moves [Explicit],"['alternative rock', 'indie rock', 'indie', 'indie pop', 'power pop']",https://www.last.fm/music/beabadoobee/_/Beaches
Looking Out for You,Joy Again,883679,12101899,Looking Out For You,"['indie', 'chill', 'indie pop', 'indie rock', 'Lo-Fi']",https://www.last.fm/music/Joy+Again/_/Looking+Out+For+You
Better in the Dark,"Jordana, TV Girl",18341,144167,N/A,[],"https://www.last.fm/music/Jordana,+TV+Girl/_/Better+in+the+Dark"
Nobody,Mitski,1129276,18230773,Be the Cowboy,"['indie pop', 'new wave', 'alternative dance', 'art pop', 'Disco']",https://www.last.fm/music/Mitski/_/Nobody
i wanna be your girlfriend,girl in red,725872,6774190,N/A,"['singer-songwriter', 'jangle pop', 'dream pop', 'bedroom pop', 'indie pop']",https://www.last.fm/music/Girl+In+Red/_/i+wanna+be+your+girlfriend
Miku,"Anamanaguchi, Hatsune Miku",5041,28633,N/A,[],"https://www.last.fm/music/Anamanaguchi,+Hatsune+Miku/_/Miku"
Love Is a Bitch,Two Feet,338138,2339207,Love Is a Bitch,"['sexy', 'MySpotigramBot', '-1001819731063', 'chillout', 'pop']",https://www.last.fm/music/Two+Feet/_/Love+Is+a+Bitch
Paper Planes,M.I.A.,1986319,18465431,Kala,"['Hip-Hop', 'electronic', 'female vocalists', 'dance', 'british']",https://www.last.fm/music/M.I.A./_/Paper+Planes
Need 2,Pinegrove,788474,13078337,Everything So Far,"['slowcore', 'Alt-country', 'indie folk', 'midwest emo', 'slacker rock']",https://www.last.fm/music/Pinegrove/_/Need+2
Loving Machine,TV Girl,559609,6362604,Who Really Cares,['MySpotigramBot'],https://www.last.fm/music/TV+Girl/_/Loving+Machine
Those Eyes - Sped Up,New West,105891,794501,Those Eyes Alternate Versions,[],https://www.last.fm/music/New+West/_/Those+Eyes+-+Sped+Up
forwards beckon rebound,Adrianne Lenker,351692,5021631,N/A,"['folk', 'indie folk', 'indie', 'singer-songwriter', 'Love']",https://www.last.fm/music/AdriAnne+Lenker/_/forwards+beckon+rebound
Picture You,Chappell Roan,592247,7308010,The Rise and Fall of a Midwest Princess,"['indie', 'indie pop', 'singer-songwriter', 'rnb', 'doo-wop']",https://www.last.fm/music/Chappell+Roan/_/Picture+You
Naked In Manhattan,Chappell Roan,640782,9284038,Naked in Manhattan,"['pop', 'electronic', 'electropop', 'indie pop', 'female vocalists']",https://www.last.fm/music/Chappell+Roan/_/Naked+in+Manhattan
Water Fountain,Alec Benjamin,404103,3921134,成长 (Older),"['indie', 'pop', 'alternative', 'indie pop', 'a']",https://www.last.fm/music/Alec+Benjamin/_/Water+Fountain
Feel It Still,Portugal. The Man,933322,8980611,Woodstock,"['pop', 'indie', 'funk', 'psychedelic pop', '2010s']",https://www.last.fm/music/Portugal.+The+Man/_/Feel+It+Still
Add Up My Love,Clairo,427424,4311298,Charm,"['indie pop', 'soft rock', 'bedroom pop', 'seen live', 'chamber pop']",https://www.last.fm/music/Clairo/_/Add+Up+My+Love
Mystery of Love,Sufjan Stevens,701983,9413239,N/A,"['indie folk', 'indie', 'singer-songwriter', '2017', 'folk']",https://www.last.fm/music/Sufjan+Stevens/_/Mystery+Of+Love
Family Line,Conan Gray,384114,5996312,Superache,"['seen live', 'pop', 'alternative', 'folk', 'soft rock']",https://www.last.fm/music/Conan+Gray/_/Family+Line
How Long Will I Love You,Ellie Goulding,158528,1008300,Halcyon Days,"['pop', 'cover', 'Love', '2013', 'ellie goulding']",https://www.last.fm/music/Ellie+Goulding/_/How+Long+Will+I+Love+You
Money,The Drums,923346,8544440,Portamento,"['indie', 'indie pop', 'indie rock', 'surf rock', 'alternative']",https://www.last.fm/music/The+Drums/_/Money
Brazil,Declan McKenna,921454,12191416,N/A,"['indie', 'alternative', 'rock', 'pop', 'british']",https://www.last.fm/music/Declan+Mckenna/_/Brazil
Him & I (with Halsey),"G-Eazy, Halsey",5639,30862,N/A,[],"https://www.last.fm/music/G-Eazy,+Halsey/_/Him+&+I+(with+Halsey)"
20191009 I Like Her,Mac DeMarco,559868,5214347,One Wayne G,"['fip', 'numbers']",https://www.last.fm/music/Mac+DeMarco/_/20191009+I+Like+Her
When the Sun Hits,Slowdive,1049938,16584832,Souvlaki,"['shoegaze', 'dream pop', 'Dreamy', 'indie', 'beautiful']",https://www.last.fm/music/Slowdive/_/When+the+Sun+Hits
In A Good Way,Faye Webster,527987,6549122,I Know I'm Funny haha,"['romantic', 'indie', 'singer-songwriter', 'Love', 'soft rock']",https://www.last.fm/music/Faye+Webster/_/In+a+Good+Way
Never Be Like You,"Flume, kai",7419,46902,N/A,[],"https://www.last.fm/music/Flume,+kai/_/Never+Be+Like+You"
You're All I Want,Cigarettes After Sex,446157,4302728,You're All I Want - Single,"['dream pop', 'indie pop', 'indie rock', 'Lo-Fi', 'ambient pop']",https://www.last.fm/music/Cigarettes+After+Sex/_/You%27re+All+I+Want
"not a lot, just forever",Adrianne Lenker,448197,7052455,N/A,"['folk', 'indie folk', 'indie', 'singer-songwriter', 'Love']","https://www.last.fm/music/AdriAnne+Lenker/_/not+a+lot,+just+forever"
Mardy Bum,Arctic Monkeys,1655040,16239329,Beneath the Boardwalk,"['indie rock', 'indie', 'british', 'rock', 'alternative']",https://www.last.fm/music/Arctic+Monkeys/_/Mardy+Bum
Me and My Husband,Mitski,945186,14942777,Be the Cowboy,"['art pop', 'female vocalists', 'chamber pop', 'piano rock', 'seen live']",https://www.last.fm/music/Mitski/_/Me+and+My+Husband
Someone To You,BANNERS,441706,4061571,N/A,"['pop', 'indie', 'alternative', 'indie pop', 'Soundtrack']",https://www.last.fm/music/Banners/_/Someone+To+You
Girls Just Wanna Have Some,Chromatics,163578,1338144,Girls Just Wanna Have Fun,"['pop', 'cover', 'witch house']",https://www.last.fm/music/Chromatics/_/Girls+Just+Wanna+Have+Some
Right Side of My Neck,Faye Webster,691708,10245951,N/A,"['indie', 'indie pop', 'female vocalists', 'Alt-country', 'fip']",https://www.last.fm/music/Faye+Webster/_/Right+side+of+my+neck
Bad Girls,M.I.A.,952956,8720653,Bad Girls,"['Hip-Hop', 'electronic', 'alternative', 'female vocalists', 'swag']",https://www.last.fm/music/M.I.A./_/Bad+Girls
It Almost Worked,TV Girl,602703,7773084,The Night in Question: French Exit Outtakes,"['pop', 'indie pop', 'love at first listen', 'the very best', 'kms']",https://www.last.fm/music/TV+Girl/_/It+Almost+Worked
(dream),salvia palth,844924,12349450,Melanchole,"['dream pop', 'post-rock', 'folk', 'ambient', 'Lo-Fi']",https://www.last.fm/music/Salvia+Palth/_/(Dream)
1985,Bo Burnham,237620,2308018,The Inside Outtakes,"['electronic', 'pop', 'rock', 'indie pop', 'singer-songwriter']",https://www.last.fm/music/Bo+Burnham/_/1985
Things to Do,Alex G,339361,4570618,N/A,['MySpotigramBot'],https://www.last.fm/music/Alex+G/_/Things+to+do
After Midnight,Chappell Roan,634892,8489272,The Rise and Fall of a Midwest Princess,"['electropop', 'Disco', 'pop', 'dance-pop', 'gay']",https://www.last.fm/music/Chappell+Roan/_/After+Midnight
Watching Him Fade Away,Mac DeMarco,666184,7536635,This Old Dog,[],https://www.last.fm/music/Mac+DeMarco/_/Watching+Him+Fade+Away
Tom's Diner,"AnnenMayKantereit, Giant Rooks",6842,29289,N/A,[],"https://www.last.fm/music/AnnenMayKantereit,+Giant+Rooks/_/Tom%27s+Diner"
I Bet You Look Good On The Dancefloor,Arctic Monkeys,1901202,19751681,I Bet You Look Good on the Dancefloor,"['indie rock', 'indie', 'rock', 'british', 'alternative']",https://www.last.fm/music/Arctic+Monkeys/_/I+Bet+You+Look+Good+on+the+Dancefloor
State Lines,Novo Amor,349844,3240859,State Lines,"['indie', 'folk', 'Awesome', 'indie folk', 'Favorite']",https://www.last.fm/music/Novo+Amor/_/State+Lines
breaking news,flowerovlove,58717,382305,breaking news,"['2020s', 'indie pop']",https://www.last.fm/music/flowerovlove/_/breaking+news
Good Life (with G-Eazy & Kehlani),"G-Eazy, Kehlani",1152,4347,N/A,[],"https://www.last.fm/music/G-Eazy,+Kehlani/_/Good+Life+(with+G-Eazy+&+Kehlani)"
Black Out Days,Phantogram,550722,5204080,Voices,"['indie pop', 'indie', 'electronic', 'indietronica', 'female vocalists']",https://www.last.fm/music/Phantogram/_/Black+Out+Days
Twilight,bôa,638221,8572135,Twilight,"['rock', 'alternative rock', 'alternative', 'british', '90s']",https://www.last.fm/music/b%C3%B4a/_/Twilight
I Want You,Mitski,716562,12172315,"Retired from Sad, New Career in Business","['singer-songwriter', 'chamber pop', 'art pop', 'indie rock', 'pop rock']",https://www.last.fm/music/Mitski/_/I+Want+You
Lejos de Ti,The Marías,252170,1760445,Submarine,"['dream pop', 'bedroom pop', 'Sophisti-Pop', 'soft rock', 'alt-pop']",https://www.last.fm/music/The+Mar%C3%ADas/_/LeJos+De+Ti
Tieduprightnow,Parcels,288156,2090826,N/A,"['indie', 'alternative', 'indie pop', 'australian', 'fip']",https://www.last.fm/music/Parcels/_/TIEDUPRIGHTNOW
Genesis,Grimes,1283992,17204906,Visions,"['dream pop', 'electronic', 'indie', 'experimental', 'electronica']",https://www.last.fm/music/Grimes/_/Genesis
"Everywhere, Everything (with Gracie Abrams)","Noah Kahan, Gracie Abrams",2834,25406,N/A,[],"https://www.last.fm/music/Noah+Kahan,+Gracie+Abrams/_/Everywhere,+Everything+(with+Gracie+Abrams)"
Rosemary,Deftones,670270,8909772,Koi No Yokan,"['alternative metal', 'shoegaze', 'Deftones', 'alternative rock', 'post-rock']",https://www.last.fm/music/Deftones/_/Rosemary
Futile Devices (Doveman Remix),Sufjan Stevens,412853,4960813,Mystery of Love,"['indie folk', 'Soundtrack', 'electronic', 'electronica', 'indie']",https://www.last.fm/music/Sufjan+Stevens/_/Futile+Devices+(Doveman+Remix)
bad idea!,girl in red,733510,7420277,N/A,"['rock', 'booba', 'indie', 'pop', 'punk']",https://www.last.fm/music/Girl+In+Red/_/bad+idea%21
Black Star,Radiohead,1157134,11202721,The Bends,"['rock', 'alternative', 'alternative rock', 'radiohead', 'british']",https://www.last.fm/music/Radiohead/_/Black+Star
It Runs Through Me (feat. De La Soul),"Tom Misch, De La Soul",1273,4725,N/A,[],"https://www.last.fm/music/Tom+Misch,+De+La+Soul/_/It+Runs+Through+Me+(feat.+De+La+Soul)"
Hayloft,Mother Mother,778452,8323038,iTunes Live From Montréal,"['indie rock', 'indie pop', 'quirky', 'alternative rock', 'power pop']",https://www.last.fm/music/Mother+Mother/_/Hayloft
West Coast Love,Emotional Oranges,181091,1575424,Melted,['ended cardi'],https://www.last.fm/music/Emotional+Oranges/_/West+Coast+Love
Cologne,beabadoobee,468847,7476208,Our Extended Play - EP,"['pop', 'rock', 'emo', 'indie pop', 'dream pop']",https://www.last.fm/music/beabadoobee/_/Cologne
Midnight City,M83,1786923,19743126,"Hurry Up, We're Dreaming","['electronic', 'indie', 'electropop', 'electro', 'catchy']",https://www.last.fm/music/M83/_/Midnight+City
Freaky Friday (feat. Chris Brown),"Lil Dicky, Chris Brown",2154,17171,N/A,[],"https://www.last.fm/music/Lil+Dicky,+Chris+Brown/_/Freaky+Friday+(feat.+Chris+Brown)"
Opendoors,Jitwam,275494,1208108,HONEYCOMB,['fip'],https://www.last.fm/music/Jitwam/_/Opendoors
Liquid Smooth,Mitski,745435,12352649,LUSH,"['chamber pop', 'singer-songwriter', 'vocal jazz', 'jazzy', 'piano blues']",https://www.last.fm/music/Mitski/_/Liquid+Smooth
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,818044,8827944,I'm a Firefighter,"['dream pop', 'slowcore', 'shoegaze', 'indie', 'Love']",https://www.last.fm/music/Cigarettes+After+Sex/_/Nothing%27s+Gonna+Hurt+You+Baby
Blood // Water,grandson,413335,4008757,N/A,"['alternative rock', 'dance', 'rap rock', 'Brostep', 'electronic']",https://www.last.fm/music/Grandson/_/Blood+%2F%2F+Water
Go Fuck Yourself,Two Feet,405383,2938309,First Steps,"['trap', 'fml', 'MySpotigramBot', '-1001819731063']",https://www.last.fm/music/Two+Feet/_/Go+Fuck+Yourself
Charmed,"Σtella, Redinho",3819,17162,N/A,[],"https://www.last.fm/music/%CE%A3tella,+Redinho/_/Charmed"
Wi Ing Wi Ing,HYUKOH,82048,647473,N/A,"['indie rock', '2014', 'hyukoh', 'sunny owns this song']",https://www.last.fm/music/hyukoh/_/Wi+Ing+Wi+Ing
Remember That Night?,Sara Kays,270463,2505765,Future Kids,"['indie', 'indie pop', 'singer-songwriter', 'yearning', 'reminiscing']",https://www.last.fm/music/Sara+Kays/_/Remember+That+Night%3F
half return,Adrianne Lenker,371336,5057691,N/A,"['folk', 'indie folk', 'indie', 'singer-songwriter', 'beautiful']",https://www.last.fm/music/AdriAnne+Lenker/_/half+return
Bubblegum Bitch,MARINA,935543,10895261,Electra Heart [Clean],"['electropop', 'pop', 'pop rock', 'new wave', 'alternative']",https://www.last.fm/music/Marina/_/Bubblegum+Bitch
"Still Falling For You - From ""Bridget Jones's Baby""",Ellie Goulding,136246,911669,"Still Falling For You (From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack)","['Soundtrack', 'pop', 'british', 'female vocalists', 'ellie goulding']",https://www.last.fm/music/Ellie+Goulding/_/Still+Falling+For+You+-+From+%22Bridget+Jones%27s+Baby%22
Oblivion,Grimes,1353718,17851522,Visions,"['synthpop', 'electronic', 'dream pop', 'Canadian', 'indietronica']",https://www.last.fm/music/Grimes/_/Oblivion
Hellfire (from the series Arcane League of Legends),"Arcane, FEVER 333",954,6865,N/A,[],"https://www.last.fm/music/Arcane,+FEVER+333/_/Hellfire+(from+the+series+Arcane+League+of+Legends)"
Verbatim,Mother Mother,602279,6156392,Touch Up,"['experimental', 'sexy', 'Canadian', 'funny', 'indie']",https://www.last.fm/music/Mother+Mother/_/Verbatim
What Once Was,Her's,816630,11028043,Songs of Her's,"['dream pop', 'jangle pop', 'indie pop', 'indie', 'pop']",https://www.last.fm/music/Her%27s/_/What+Once+Was
Not Strong Enough,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus",16434,246535,N/A,[],"https://www.last.fm/music/boygenius,+Julien+Baker,+Phoebe+Bridgers,+Lucy+Dacus/_/Not+Strong+Enough"
Motion Sickness,Phoebe Bridgers,1075968,21700370,Stranger in the Alps,"['indie rock', 'singer-songwriter', 'indie', 'rock', 'country']",https://www.last.fm/music/Phoebe+Bridgers/_/Motion+Sickness
Burning Pile,Mother Mother,597364,5709162,O My Heart,"['indie pop', 'indie', 'indie rock', 'wonderful vocal harmonies', 'Love']",https://www.last.fm/music/Mother+Mother/_/Burning+Pile
All For Us,"Labrinth, Zendaya",12576,69936,Euphoria Season 1,"['euphoria', 'Labrinth', 'zendaya', 'all for us']","https://www.last.fm/music/Labrinth,+Zendaya/_/All+For+Us"
ZITTI E BUONI,Måneskin,430889,6721580,N/A,"['rock', 'Eurovision', 'hard rock', 'eurovision 2021', 'alternative rock']",https://www.last.fm/music/M%C3%A5neskin/_/Zitti+e+buoni
Goodie Bag,Still Woozy,709893,7640247,N/A,"['indie', 'trippy', 'alternative', 'indie rock', 'psychedelic pop']",https://www.last.fm/music/Still+Woozy/_/GOODIE+BAG
Paranoid Android,Radiohead,2051353,20950092,OK Computer,"['alternative', 'alternative rock', 'rock', 'radiohead', 'indie']",https://www.last.fm/music/Radiohead/_/Paranoid+Android
Where's My Love - Acoustic,SYML,321509,2528107,Where's My Love (Acoustic),[],https://www.last.fm/music/SYML/_/Where%27s+My+Love+-+Acoustic
Everybody Talks,Neon Trees,1207937,10680790,Everybody Talks,"['alternative', 'indie rock', 'catchy', 'rock', 'summer']",https://www.last.fm/music/Neon+Trees/_/Everybody+Talks
Primadonna,MARINA,792885,8130740,NOW: The Hits of Spring 2012,"['electropop', 'electro house', 'pop', 'dance-pop', 'electronic']",https://www.last.fm/music/Marina/_/Primadonna
When The Sun Goes Down,Arctic Monkeys,1553447,15956938,When the Sun Goes Down,"['indie', 'indie rock', 'british', 'rock', 'alternative']",https://www.last.fm/music/Arctic+Monkeys/_/When+the+Sun+Goes+Down
Eat Your Young,Hozier,472821,5742249,Eat Your Young,"['seen live', 'rock', 'soul', 'indie rock', 'soft rock']",https://www.last.fm/music/Hozier/_/Eat+Your+Young
Like Real People Do,Hozier,786505,9969702,Hozier,"['soul', 'folk', 'seen live', 'haunting', 'ethereal']",https://www.last.fm/music/Hozier/_/Like+Real+People+Do
Heartburn,Wafia,149049,1088335,Heartburn,"['electropop', 'chill', 'indie pop', 'love at first listen', 'played']",https://www.last.fm/music/Wafia/_/Heartburn
Entombed,Deftones,542704,6630644,Koi No Yokan,"['alternative metal', 'alternative rock', 'alternative', 'shoegaze', 'beautiful']",https://www.last.fm/music/Deftones/_/Entombed
Teardrops,NEIL FRANCES,192052,1056193,Teardrops - Single,"['cover', 'nachspiel', '2018']",https://www.last.fm/music/Neil+Frances/_/Teardrops
Still Don't Know My Name,Labrinth,635158,5937484,Euphoria (Original Score from the HBO Series),"['electronic', 'indie', 'psychedelic', 'rnb', 'Hip-Hop']",https://www.last.fm/music/Labrinth/_/Still+Don%27t+Know+My+Name
Судно (Борис Рижий),Molchat Doma,686632,7482162,этажи,"['post-punk', 'coldwave', 'darkwave', 'punk', 'russian']",https://www.last.fm/music/Molchat+Doma/_/%D0%A1%D1%83%D0%B4%D0%BD%D0%BE+(%D0%91%D0%BE%D1%80%D0%B8%D1%81+%D0%A0%D0%B8%D0%B6%D0%B8%D0%B9)
Super Graphic Ultra Modern Girl,Chappell Roan,654862,9229127,The Rise and Fall of a Midwest Princess,"['electropop', 'electronic', 'power pop', 'happy', 'dance-pop']",https://www.last.fm/music/Chappell+Roan/_/Super+Graphic+Ultra+Modern+Girl
How to Disappear Completely,Radiohead,1425318,16325697,Kid A,"['alternative', 'radiohead', 'alternative rock', 'beautiful', 'rock']",https://www.last.fm/music/Radiohead/_/How+to+Disappear+Completely
You Love Me,Kimya Dawson,172004,1569287,Hidden Vagenda,"['female vocalists', 'indie', 'Love', 'Mellow', 'piano']",https://www.last.fm/music/Kimya+Dawson/_/You+Love+Me
Love Me Not,Ravyn Lenae,213115,1925270,Bird's Eye [Explicit],"['pop rock', 'pop soul', 'rock', 'soul', 'rnb']",https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not
Juliet,Cavetown,512063,5503994,Animal Kingdom: Sandy,"['indie pop', 'indietronica', 'bedroom pop', 'electronic', 'indie']",https://www.last.fm/music/Cavetown/_/Juliet
Tear in My Heart,Twenty One Pilots,805938,8182162,N/A,"['indie pop', 'alternative hip hop', 'electropop', 'alternative', 'indie']",https://www.last.fm/music/Twenty+One+Pilots/_/Tear+in+My+Heart
Please Please Please Let Me Get What I Want - 2005 Remaster,Deftones,671014,10530810,B-Sides & Rarities (Explicit),"['shoegaze', 'rock', 'cover', 'metal', 'indie']",https://www.last.fm/music/Deftones/_/Please+Please+Please+Let+Me+Get+What+I+Want+-+2005+Remaster
