Track,Artist,Listeners,Playcount
Ain't That A Shame,Fats Domino,188628,607147
Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,Buzzcocks,320513,2082190
Close to Heaven,Color Me Badd,6356,26886
Doin' Just Fine,Boyz II Men,46383,194513
Not An Angel,Tems,36077,175712
To Zion (feat. Carlos Santana),"Ms. Lauryn Hill, Carlos Santana",5047,23219
He's So Fine - Remastered 2000,The Chiffons,65036,204426
Vai malandra (feat. Tropkillaz & DJ Yuri Martins),"Anitta, ZAAC, Maejor, Tropkillaz, DJ Yuri Martins",5628,19833
Goat,Lil Tjay,63549,778174
Seven Devils,Florence + The Machine,496622,4049387
Money (That's What I Want) - Single Version / Mono,Barrett Strong,100532,319591
You've Really Got A Hold On Me,The Miracles,161306,510015
None of Your Love - Bonus,Lil Tjay,46281,628476
Daydream,The Lovin' Spoonful,265145,959042
Share My World,Mary J. Blige,46228,277147
Fleece,Crystal Castles,157172,1082300
Molly,"Sleepy Hallow, Sheff G",931,5293
I Wonder Why,Dion & The Belmonts,112230,444960
Back That Azz Up,"JUVENILE, Lil Wayne, Mannie Fresh",2682,9451
Say a Little Prayer - Live,Lianne La Havas,54780,251353
Territory,Sepultura,311286,1838643
It's Only Love - 2008 Remaster,Simply Red,25581,84907
Bag Lady,Erykah Badu,259272,1244846
Mixed Emotions,Lil Tjay,34743,358137
I'm So Into You,SWV,181748,710667
Don't Let Go (Love),En Vogue,198723,870721
Get Me Home,"Foxy Brown, Blackstreet",69525,265039
Big Girls Don't Cry,Frankie Valli & The Four Seasons,148888,583287
Something Got Me Started - 2008 Remaster,Simply Red,43231,183195
It's On Again (feat. Kendrick Lamar) - From The Amazing Spider-Man 2 Soundtrack,"Alicia Keys, Kendrick Lamar",1258,6867
Let It Burn,Jazmine Sullivan,59210,334466
Midnight Mischief (Tom Misch Remix),"Jordan Rakei, Tom Misch",892,3051
Long Time,Lil Tjay,47069,587537
Deep End Freestyle,"Sleepy Hallow, Fousheé",1936,8213
Show Me Love (feat. Miguel),"Alicia Keys, Miguel",782,2534
Other Side Of The Game,Erykah Badu,221775,1138810
Russian Roulette,"Tungevaag, Raaban, Charlie Who?",227,1005
Forever (Remix),"Gyakie, Omah Lay",345,1150
Why I do em Like that (feat. Billie Essco),"Westside Gunn, Billie Essco",3115,18614
Nobody (feat. Athena Cage),"Keith Sweat, Athena Cage",683,2613
Slow Motion,"JUVENILE, Soulja Slim",210024,587065
Sherry,Frankie Valli & The Four Seasons,157818,680053
Every Little Thing I Do,Soul For Real,78408,301720
You've Lost That Lovin' Feelin',The Righteous Brothers,217444,822797
I'm Ready,Tevin Campbell,33225,157834
I'm Still In Love With You,New Edition,61998,193500
Samsara (feat. Emila),"Tungevaag, Raaban, Emila",231,751
Hounds Of Love,Kate Bush,479603,3401836
Me Gusta (with Cardi B & Myke Towers),"Anitta, Myke Towers, Cardi B",2665,14138
Sorry You're Not a Winner,Enter Shikari,221844,2041219
Ferry Cross the Mersey - Stereo; 1997 Remaster,Gerry & The Pacemakers,23892,68915
Anemone,The Brian Jonestown Massacre,316235,2300309
Future Starts Slow,The Kills,365403,2675781
Ride With Me (feat. Kid Ink) - Brennan Heart Remix,"Tungevaag, Kid Ink, Brennan Heart",179,624
Be Happy,Mary J. Blige,111035,363350
Postcards from Italy,Beirut,628207,5318407
Tempted,Squeeze,229893,1009638
A Woman's Worth,Alicia Keys,242528,903477
You've Got The Love - Jamie xx Rework,"Florence + The Machine, The xx, Jamie xx",959,2738
'Til You Do Me Right,After 7,37183,102406
Orange Moon,Erykah Badu,200389,955891
Get it Right (feat. Asake),"Tems, Asake",816,3459
Anniversary,Tony! Toni! Toné!,47939,145965
I2I,"Tevin Campbell, Rosie Gaines",61961,377335
Waiting - Demo,Amber Mark,42733,151351
Right and a Wrong Way,Keith Sweat,23123,110071
Seasons (Waiting on You),Future Islands,401970,3335029
June 22nd,Lil Tjay,52197,421132
Masterpiece,Atlantic Starr,25437,74342
Amor Difícil - Ao vivo,"LUDMILLA, Thiaguinho",1072,3409
Hang On Sloopy,The McCoys,149887,514969
Intimate,Crystal Castles,366444,2564371
What You Wanna Do,Lil Tjay,34432,352724
Low Key (Bonus),Sleepy Hallow,66741,930533
Samba De Verão,Caetano Veloso,117927,540635
Wifey - Club Mix/Dirty Version,Next,21149,72131
I Can Change,Lake Street Dive,44083,163373
Spectrum (Say My Name),Florence + The Machine,45620,203534
Be Without You,Mary J. Blige,209635,959063
Oops (Oh My) [feat. Missy Elliott],"Tweet, Missy Elliott",1387,4891
Gossip Folks (feat. Ludacris),"Missy Elliott, Ludacris",70438,298748
DLZ,TV On The Radio,435305,3282754
Ratamahatta,Sepultura,315935,1979794
"No Suburban, Pt. 2",Sheff G,131622,1656015
Ship To Wreck,Florence + The Machine,420606,3692868
Munich,Editors,691132,4657747
1999,Sleepy Hallow,65142,849466
"Get The Strap (feat. Casanova, 6ix9ine & 50 Cent)","Uncle Murda, Casanova, 6ix9ine, 50 Cent",198,732
In Love With You,"Erykah Badu, Stephen Marley",1932,7365
Faded Pictures,"Case, Joe",3054,12478
"Something About You - 7"" Version",Level 42,39522,175407
Sisyphus,Andrew Bird,182975,1128369
The Real Thing,Lisa Stansfield,62306,210075
All I Do Is Think of You,Troop,57393,308582
Dream Girl Evil,Florence + The Machine,198275,1706391
Hunger,Florence + The Machine,317032,3189436
The Key,Tems,48510,301186
The Color of Love,Boyz II Men,20068,82460
Knockin' da Boots,H-Town,107502,356020
A Song For Mama,Boyz II Men,79047,262213
Money's Too Tight (To Mention) - 2008 Remaster,Simply Red,28849,114582
After Party,Koffee Brown,41647,196704
Forever My Lady,Jodeci,103550,321590
You Worry Me,Nathaniel Rateliff & The Night Sweats,99745,556012
Wifey,Next,78620,216778
Kiss With A Fist,Florence + The Machine,961223,7760967
"Suburban, Pt. 2",22Gz,110339,1201238
Not In Love - Radio Version,"Crystal Castles, Robert Smith",265359,2323731
Nantes,Beirut,625183,6313441
Georgy Porgy (feat. Faith Evans),"Eric Benét, Faith Evans",303,1066
Like You'll Never See Me Again,Alicia Keys,205266,1102525
Johnny P's Caddy,"Benny The Butcher, J. Cole",6019,39616
Laneswitch,Lil Tjay,58596,685293
Bomb Intro / Pass That Dutch,Missy Elliott,78313,337161
Happy Idiot,TV On The Radio,311137,2072841
Ready Or Not,After 7,59135,224002
So Beautiful,Simply Red,38031,140706
Funk Rave,Anitta,149803,4848591
Before I Let You Go,Blackstreet,67060,222732
Green Eyes,Erykah Badu,195125,1165490
Mr. Wrong,"Mary J. Blige, Drake",63913,262145
Arise,Sepultura,206146,1308548
Rock Wit'cha,Bobby Brown,48730,182508
Mas Que Nada / De Manhã - Medley,Jorge Ben Jor,3518,12865
Everything Is Everything,Ms. Lauryn Hill,197101,796021
Happy Hour,The Housemartins,171464,850462
Baptism,Crystal Castles,554434,5372999
Missing You,Case,110544,328949
Decline (feat. Lil Baby),"Lil Tjay, Lil Baby",267,1326
Celestica,Crystal Castles,554669,5103565
My Prerogative,Bobby Brown,170802,647200
I'm a Believer,The Monkees,493554,2016731
Margiela Split Toes (feat. Mach-Hommy),"Westside Gunn, Mach-Hommy",3488,16759
Best of Me,Anthony Hamilton,45865,180383
Motownphilly,Boyz II Men,153208,580316
The Way (2020 Remastered),Jill Scott,9284,36181
Up The Junction,Squeeze,204772,1140752
Dontchange,Musiq Soulchild,60991,167107
Making Plans For Nigel,XTC,357082,2174206
What Kind Of Man Would I Be,Mint Condition,65669,184751
Nauseous,"Sleepy Hallow, Jay Critch",367,1668
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),"Alicia Keys, Tony! Toni! Toné!, Jermaine Paul",1302,4200
You Are My Lady,Freddie Jackson,55241,166081
You Make Me Feel Brand New - Live at Sydney Opera House,Simply Red,11748,39157
When It Hurts so Bad,Ms. Lauryn Hill,199687,813134
Ready,Tems,23770,101688
"Oba, Lá Vem Ela","Jorge Ben Jor, Trio Mocoto",8483,45697
Sensitivity,Ralph Tresvant,87657,332550
What Kind Of Man,Florence + The Machine,381485,3686265
I Miss You,Klymaxx,23616,80557
"No Light, No Light",Florence + The Machine,567314,5970384
No More Drama,Mary J. Blige,202511,691547
Caravan Of Love,The Housemartins,110514,465557
Right Place Wrong Time,Dr. John,181872,696256
Savage Funk,Anitta,137302,2797274
In Love With Another Man,Jazmine Sullivan,84667,347134
Fairground,Simply Red,147893,633137
Crazy Tings,Tems,59589,357492
Get to Know Ya - Remastered 2021,Maxwell,10135,40448
Ice T,Tems,39481,231061
Love Calls,Kem,27173,122859
All 4 Love,Color Me Badd,43034,159525
Everything,Mary J. Blige,70511,255119
Now That We Found Love,"Heavy D & The Boyz, Aaron Hall",971,3118
Angel Eyes (Home And Away),Wet Wet Wet,33371,112109
I Gotta Find Peace of Mind - Live,Ms. Lauryn Hill,90250,664350
Santa Fe,Beirut,384931,2428698
PICASSO,"Sheff G, King Von, Jay Critch, Eli Fross",572,2745
Girl Like Me (feat. H.E.R.),"Jazmine Sullivan, H.E.R.",2653,11570
Peru,Tungevaag,31845,195448
Gangsta,Tems,22729,104090
Brown Skin,India.Arie,149742,479266
Get On Up,Jodeci,25636,102384
My Life,Mary J. Blige,83471,386016
If It Isn't Love,New Edition,97996,440951
Da B Side (feat. The Notorious B.I.G.),"Da Brat, The Notorious B.I.G.",317,946
Cry For You,Jodeci,83927,283251
S.O.B.,Nathaniel Rateliff & The Night Sweats,175811,1004693
Voices Carry,'Til Tuesday,165292,810108
No Milk Today - Mono Version,Herman's Hermits,28637,106766
Hanap-Hanap,"James Reid, Nadine Lustre",332,1350
No Vacancy,Westside Gunn,243710,1719213
Lifetime - Remastered 2021,Maxwell,9606,37576
The Boxer feat. Mumford & Sons and Paul Simon,"Jerry Douglas, Paul Simon, Mumford & Sons",278,830
Rabbit Heart (Raise It Up),Florence + The Machine,810721,7486889
No One in the World,Anita Baker,64171,215641
Flows,"Sheff G, Sleepy Hallow",744,4329
SOMETHING,Gyakie,5665,33219
Scatter Brain (feat. Ludacris & JID),"Conway the Machine, Ludacris, JID",1657,7865
Marie,Sleepy Hallow,43391,544471
Floetic,Floetry,48000,179900
Old Ties and Companions,Watchhouse,75056,380385
All The Way,Sleepy Hallow,22181,219113
Why Don't We Fall in Love,Amerie,158958,728004
Slowdown (girl what's up),YellowStraps,20499,105026
I Like,Kut Klose,15300,76082
Roll The Dice (feat. Stamina MC & Lily Allen),"SHY FX, Lily Allen, Stamina MC",1035,3963
Half Crazy,Johnny Gill,3836,15750
I Need Never Get Old,Nathaniel Rateliff & The Night Sweats,81177,410798
Breakin Bad (Okay),"Sleepy Hallow, Sheff G",894,5290
Feenin',Jodeci,91286,285745
Two Can Play That Game - Radio Edit,"Bobby Brown, K-Klass",284,884
Joga Pra Lua,"Anitta, DENNIS, PEDRO SAMPAIO",6774,98203
Don't You Forget It,Glenn Lewis,35907,120276
We Getting Money,Sheff G,64110,675223
You're Always On My Mind,SWV,63711,223551
$500 Ounces (feat. Freddie Gibbs & Roc Marciano),"Westside Gunn, Freddie Gibbs, Roc Marciano",2741,17325
Come & Talk To Me,Jodeci,100150,314350
Surrender,Kut Klose,16168,97691
teachme,Musiq Soulchild,91928,295661
Doesn't Mean Anything,Alicia Keys,239247,1399324
Faking Love (feat. Saweetie),"Anitta, Saweetie",3446,21414
Roll To Me,Del Amitri,196708,950479
For Real,Amel Larrieux,43059,183234
Make It Last Forever (with Jacci McGhee),"Keith Sweat, Jacci McGhee",741,2804
I Can't Stop Loving You,Kem,48478,163759
Gata (feat. Chencho Corleone),"Anitta, Chencho Corleone",2686,14389
All Around the World,Lisa Stansfield,183611,743036
What The Water Gave Me,Florence + The Machine,569703,5403108
Insecure,"Jazmine Sullivan, Bryson Tiller",1720,6251
Giving You the Best That I Got (Single Version),Anita Baker,11382,39824
It Kills Me,Melanie Fiona,73694,319221
Violent Youth,Crystal Castles,238734,1612624
Happier,"Marshmello, Bastille",16936,75782
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","DJ Snake, Ozuna, Megan Thee Stallion, LISA",3880,131632
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",5055,30360
FRIENDS,"Marshmello, Anne-Marie",13621,62976
Stay,"Zedd, Alessia Cara",14793,60630
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",2910,11483
In the Name of Love,"Martin Garrix, Bebe Rexha",13466,58952
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",13761,57556
Cold Water,"Major Lazer, Justin Bieber, MØ",2940,12932
Love & War - Yellow Claw G-Funk Remix,"Yellow Claw, Yade Lauren",1066,5235
Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",11154,101803
U Are My High (with Future),"DJ Snake, Future",2180,10772
Be Kind (with Halsey),"Marshmello, Halsey",4321,22034
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",14046,57611
This Is What You Came For,"Calvin Harris, Rihanna",17479,73494
Scared to Be Lonely,"Martin Garrix, Dua Lipa",13282,59477
No Other Heart,Mac DeMarco,639947,6997174
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean, Funk Wav",7363,32446
Nevada,"Vicetone, Cozi Zuehlsdorff",1858,8958
Latch,"Disclosure, Sam Smith",603782,5264448
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, AFROJACK, Bebe Rexha, Nicki Minaj",7051,29923
Silence,"Marshmello, Khalid",7015,39115
Walk Thru Fire,Vicetone,70936,535333
It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",9208,46814
Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",1431,5891
Good Thing (with Kehlani),"Zedd, Kehlani",2069,8329
Whatever,"Kygo, Ava Max",4986,37651
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",3598,13543
There for You,"Martin Garrix, Troye Sivan",7744,33339
Middle,"DJ Snake, Bipolar Sunshine",6709,27819
Hero (feat. Christina Perri),"Cash Cash, Christina Perri",644,2881
Levels - Radio Edit,Avicii,631028,4316831
Clarity,"Zedd, Foxes",811050,6735712
Light It Up (feat. Nyla & Fuse ODG) - Remix,"Major Lazer, Nyla, Fuse ODG",1135,4859
Tie Me Down (with Elley Duhé),"Gryffin, Elley Duhé",728,2884
Hey Brother,Avicii,842209,6350633
Fearless Pt. II,"Lost Sky, Chris Linton",2213,11282
Turn Down for What,"DJ Snake, Lil Jon",160183,734751
A Different Way (with Lauv),"DJ Snake, Lauv",970,3928
Beautiful Now,"Zedd, Jon Bellion",3622,15283
U Are My High,DJ Snake,144369,903238
So Far Away (feat. Jamie Scott & Romy Dya),"Martin Garrix, David Guetta, Jamie Scott, Romy Dya",1458,6582
Where Are You Now,"Lost Frequencies, Calum Scott",7375,39486
You & Me - Rivo Remix,"Disclosure, Eliza Doolittle, Rivo",1286,5746
Ride It,Regard,424029,3666991
ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",2192,7856
In My Mind,"Dynoro, Gigi D'Agostino",12145,49501
It's Not Right But It's Okay,Mr. Belt & Wezol,102213,443503
Freaking Out the Neighborhood,Mac DeMarco,1026313,11377782
Reality,"Lost Frequencies, Janieck",1664,7229
Sexy Bitch (feat. Akon),"David Guetta, Akon",986947,7177835
DJ Turn It Up,Yellow Claw,107525,522763
When We Were Young (The Logical Song),"David Guetta, Kim Petras",3812,23560
Fearless,Lost Sky,79730,515573
Where Are Ü Now (with Justin Bieber),"Jack Ü, Skrillex, Diplo, Justin Bieber",8629,30411
Sweet Scar,"Weird Genius, Prince Husein, Eka Gustiwana, Reza Oktovian, Billy Taner",180,632
This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",7224,29908
Play,"K-391, Alan Walker, Tungevaag, Mangoo",985,5258
Are You Lonely (feat. ISÁK),"Steve Aoki, Alan Walker, ISÁK",467,1901
BOOM,"Tiësto, Sevenn, Gucci Mane",1202,3824
Blame (feat. John Newman),"Calvin Harris, John Newman",7909,32300
Body,"Loud Luxury, Brando",4890,22033
Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",584841,4098435
Why We Lose,"Cartoon, Jéja, Coleman Trapp",967,4560
Feel So Close - Radio Edit,Calvin Harris,515231,3589356
Magenta Riddim,DJ Snake,70752,327771
SOS (feat. Aloe Blacc),"Avicii, Aloe Blacc",1578,6176
Shelter,"Porter Robinson, Madeon",6352,36223
All Around The World (La La La),"R3HAB, A Touch Of Class",3768,14872
"She’s Gone, Dance On",Disclosure,145175,767990
10:35,"Tiësto, Tate McRae",7644,46793
Mortals - Slowed,"Warriyo, Slowed Sounds",4,6
Heroes (we could be),"Alesso, Tove Lo",5758,22052
Words (feat. Zara Larsson),"Alesso, Zara Larsson",2527,14176
Turn Me On (feat. Nicki Minaj),"David Guetta, Nicki Minaj",496050,3534290
Higher Love,"Kygo, Whitney Houston",7076,29254
Slide (feat. Frank Ocean & Migos),"Calvin Harris, Frank Ocean, Migos, Funk Wav",5795,25935
Everything Goes On,"Porter Robinson, League of Legends",2899,20490
Heroes Tonight,"Janji, Johnning",1789,8234
Tokyo,Leat'eq,111923,823457
Stars Will Align,"Kygo, Imagine Dragons",1292,4916
Body Back (feat. Maia Wright),"Gryffin, Maia Wright",508,2109
Spotlight,"Marshmello, Lil Peep",7921,48647
Waste It On Me (feat. BTS),"Steve Aoki, BTS",7121,61876
Invisible,"Zeus X Crona, Julius Dreisig",344,1398
Stole the Show,"Kygo, Parson James",7110,29659
I Want You To Know,"Zedd, Selena Gomez",4522,17247
Firestone,"Kygo, Conrad Sewell",6445,26781
Lonely Together (feat. Rita Ora),"Avicii, Rita Ora",2585,11442
One Thing Right,"Marshmello, Kane Brown",2156,8434
Move Your Body,"Öwnboss, Sevek",4102,17890
How Deep Is Your Love,"Calvin Harris, Disciples",19685,88957
Fractures,"ILLENIUM, Nevve",788,3401
Another One,Mac DeMarco,578708,4928038
Nobody Compares To You (feat. Katie Pearlman),"Gryffin, Katie Pearlman",419,1979
Born To Be Yours,"Kygo, Imagine Dragons",5363,20749
Crying On The Dancefloor,"Sam Feldt, Jonas Blue, Endless Summer, Violet Days",1868,8167
You Don't Know Me (feat. RAYE),"Jax Jones, RAYE",1084,3591
OK Not To Be OK,"Marshmello, Demi Lovato",3609,15610
Lay Low,Tiësto,216308,1540236
Rock My Body,"R3HAB, INNA, Sash!",2586,14938
Bring Me Back,"Miles Away, Olivia Ridgely",42,175
Cold Water (feat. Justin Bieber & MØ),"Major Lazer, Justin Bieber, MØ",7268,32301
Cynical,"twocolors, Safri Duo, Chris de Sarandy",1724,8762
Desire (with Sam Smith),"Calvin Harris, Sam Smith",3744,21934
Light It Up,"Robin Hustin, Jex, TobiMorrow",66,328
Heartbreak Anthem (with David Guetta & Little Mix),"Galantis, David Guetta, Little Mix",2702,12670
Runaway (U & I),Galantis,657386,5023982
Satisfaction,"David Guetta, Benny Benassi",2424,9260
You Don't Know Me,"Jax Jones, RAYE",3191,13420
Still Beating,Mac DeMarco,773069,7783518
2U (feat. Justin Bieber),"David Guetta, Justin Bieber",3860,15588
Tie Me Down,"Gryffin, Elley Duhé",1681,6206
The Business,Tiësto,377233,3120090
Without You (feat. Usher),"David Guetta, USHER",587199,3338758
One More Love Song,Mac DeMarco,539579,5278184
Bad Boy (feat. Luana Kiara),"Raaban, Tungevaag, Luana Kiara",376,1383
I Like It (with Nate Smith),"Alesso, Nate Smith",476,3702
End of Time,"K-391, Alan Walker, Ahrix",1749,9448
No Promises (feat. Demi Lovato),"Cheat Codes, Demi Lovato",3614,12719
Where Did You Go? (feat. MNEK),"Jax Jones, MNEK",1011,4057
Waiting,"Vicetone, Daisy Guttridge",552,2416
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",4303,26948
Heaven Takes You Home (feat. Connie Constance),"Swedish House Mafia, Connie Constance",1743,9266
C U Again,"Cartoon, Jéja, Mikk Mäe, Futuristik",161,861
Lean On,"Major Lazer, DJ Snake, MØ",3116,11770
Crazy What Love Can Do,"David Guetta, Becky Hill, Ella Henderson",3619,15853
All That Really Matters,"ILLENIUM, Teddy Swims",1625,7791
Jackie Chan,"Tiësto, Dzeko, Preme, Post Malone",4350,19495
Breaking Me,"Topic, A7S",5418,24570
I Need Your Love (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",382238,2619465
Solo Dance,Martin Jensen,261330,1760855
Feel Good (with Daya),"Gryffin, ILLENIUM, Daya",352,1630
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),"Martin Garrix, Macklemore, Fall Out Boy",5572,22945
Lose Control,"MEDUZA, Becky Hill, Goodboys",9093,40711
Dead To Me - Slow + Reverb,"Whales, Fraxo, Lox Chatterbox",404,2120
Move Your Body - RAIZHELL Remix,"Öwnboss, Sevek, RAIZHELL",541,4407
Make Me Move,"Culture Code, Karra",702,3497
High On Life (feat. Bonn),"Martin Garrix, Bonn",1485,7169
All Night Long,"Kungs, David Guetta, Izzy Bizu",1454,6527
Say Goodbye,"Unknown Brain, Marvin Divine",387,1856
Call It Love,"Felix Jaehn, Ray Dalton",2433,15030
Carried Away (Love To Love) (with Madison Beer),"Surf Mesa, Madison Beer",836,4460
INTERNET YAMERO,"NEEDY GIRL OVERDOSE, KOTOKO, Aiobahn +81",245,749
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,"Avicii, Nicky Romero",2033,9047
Way Back,"Vicetone, Cozi Zuehlsdorff",285,1188
You Know You Like It,"DJ Snake, AlunaGeorge",11701,50512
Finally,"Swedish House Mafia, Alicia Keys",1156,4339
Sky High,Elektronomia,48816,261812
VHS RAVE,"Tiësto, Swimming Paul",638,2227
RATATA,"Skrillex, Missy Elliott, Mr. Oizo",5151,24419
For Life (feat. Nile Rodgers),"Kygo, Zak Abel, Nile Rodgers",1312,4891
Bad Memories (feat. Elley Duhé & FAST BOY),"MEDUZA, James Carter, Elley Duhé, FAST BOY",1722,8929
Promises (with Sam Smith),"Calvin Harris, Sam Smith, Jessie Reyez",3222,12349
Under Control (feat. Hurts),"Calvin Harris, Alesso, Hurts",3976,16235
Over Now (with The Weeknd),"Calvin Harris, The Weeknd",2288,10399
Bangarang (feat. Sirah),"Skrillex, Sirah",457581,2868935
When I’m Gone (with Katy Perry),"Alesso, Katy Perry",3636,22571
Panic Room,Au/Ra,293727,2256132
Invincible,Deaf Kev,80964,467037
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),"David Guetta, Zara Larsson",1166,4770
Say My Name,"David Guetta, Bebe Rexha, J Balvin",6447,29726
Piece Of Your Heart - Alok Remix,"MEDUZA, Alok, Goodboys",1239,3769
Funny,"Zedd, Jasmine Thompson",2075,8207
No Money,Galantis,483391,3064770
ヒステリックナイトガール,"PSYQUI, Such",721,4407
Lose Somebody,"Kygo, OneRepublic",4135,20989
HUMBLE. - SKRILLEX REMIX,"Skrillex, Kendrick Lamar",2036,7362
Addicted To You,Avicii,531416,3899433
Weyu,"Lucas Estrada, Lenji, Amadi Blue",49,144
Who's That Chick? (feat. Rihanna),"David Guetta, Rihanna",7367,95745
Control,"Unknown Brain, Jex, Rival",567,2842
War Zone,"Unknown Brain, M.I.M.E",270,1329
Into You,"Matisse & Sadko, Hanne Mjøen",442,2189
Future Ghost (feat. Violette Wautier),"Weird Genius, Violette Wautier",45,149
Nemesis,Ryllz,25227,160436
Five More Hours,"Deorro, Chris Brown",4718,19118
Nothing Stopping Me,"Vicetone, Kat Nestel",301,1793
Electricity,"Silk City, Dua Lipa, Mark Ronson, Diplo",1301,5178
This Is What It Feels Like,"Armin van Buuren, Trevor Guthrie",323337,2136887
Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta, Flo Rida, Nicki Minaj",5034,20043
Fire - Official UEFA EURO 2024 Song,"MEDUZA, OneRepublic, Leony",780,3703
When Love Takes Over (feat. Kelly Rowland),"David Guetta, Kelly Rowland",552115,3551560
Stay The Night - Featuring Hayley Williams Of Paramore,"Zedd, Hayley Williams",3763,17287
My Heart,"Different Heaven, EH!DE",1443,6898
365,"Zedd, Katy Perry",11471,64944
adore u,"Fred again.., Obongjayar",4439,22445
Animals,Martin Garrix,361619,2099906
INTERNET OVERDOSE,"NEEDY GIRL OVERDOSE, KOTOKO, Aiobahn +81",111,2477
Free (with Ellie Goulding),"Calvin Harris, Ellie Goulding",1051,4791
Whistle (feat. Calum Scott),"Jax Jones, Calum Scott",930,4140
Titanium (feat. Sia) - David Guetta & MORTEN Future Rave Remix,"David Guetta, Sia, MORTEN",14,41
2 Times,"Dimitri Vegas, Steve Aoki, Ann Lee, Sound Of Legend",359,2093
Bad Memories - Felix Jaehn Remix,"MEDUZA, James Carter, Felix Jaehn, Elley Duhé, FAST BOY",313,1060
Candyland,Tobu,84121,420254
Perfect (Exceeder),"David Guetta, Mason, Princess Superstar",1214,4601
The Days,Avicii,280210,1762143
Blank,Disfigure,79657,484343
leavemealone,"Fred again.., Baby Keem",5422,36970
Heaven Is A Place On Earth,"W&W, AXMO",608,3212
Save Me,DEAMN,9216,78132
Marea (we’ve lost dancing),"Fred again.., The Blessed Madonna",6973,39056
Preoccupied,Mac DeMarco,369820,2519865
Superhero,"Unknown Brain, Chris Linton",1006,4277
Woke Up in Love,"Kygo, Gryffin, Calum Scott",1717,6476
Let It Go,"NOTSOBAD, MA:RK",506,1615
Lonely Together - (feat. Rita Ora) Alan Walker Remix,"Avicii, Rita Ora, Alan Walker",189,1055
Bad Memories,"MEDUZA, James Carter, Elley Duhé, FAST BOY",2411,11568
Keep You Mine,"NOTD, shy martin",1334,6233
On the Level,Mac DeMarco,553183,4838532
Lioness,"Swedish House Mafia, Niki & The Dove",1276,5509
Bloom,"Lucas Estrada, TWOPILOTS",254,635
Hero,"Martin Garrix, JVKE",1622,8479
就寝御礼,PSYQUI,38634,293947
Hot In It (feat. Charli XCX),"Tiësto, Charli xcx",4478,22248
Lasting Lover,"Sigala, James Arthur",1799,6440
Que Calor,"Major Lazer, J Balvin, El Alfa",1056,3884
places to be,"Fred again.., Anderson .Paak, CHIKA",3819,22866
Bye Bye,"Marshmello, Juice WRLD",1968,12871
So Close,"NOTD, Felix Jaehn, Captain Cuts, Georgia Ku",1330,5053
Blah Blah Blah,Armin van Buuren,186885,1261870
Man In Finance (with David Guetta),"David Guetta, Girl On Couch, Billen Ted",480,1902
Hate You + Love You (feat. AJ Mitchell),"Cheat Codes, AJ Mitchell",693,2332
First Time,"Kygo, Ellie Goulding",4234,14834
All the Things She Said,"Robin Schulz, Timmy Trumpet, KOPPY",667,3021
Carry You,"Martin Garrix, Third Party, Oaks, Declan J Donovan",514,3861
Delilah (pull me out of this),"Fred again.., Delilah Montagu",2090,14872
Don't Be Shy,"Tiësto, KAROL G",4890,21292
Ocean Drive,Duke Dumont,456166,4542474
Memories (feat. Kid Cudi) - 2021 Remix,"David Guetta, Kid Cudi",839,2360
Get Up (Rattle) [feat. Far East Movement] - Vocal Edit,"Bingo Players, Far East Movement",991,3859
Angels (feat. Kat Nestel) - Radio Edit,"Vicetone, Kat Nestel",248,1266
Astronomia,"Vicetone, Tony Igy",2557,21913
Back To You,"Lost Frequencies, Elley Duhé, X Ambassadors",2479,11077
Purple Lamborghini (with Rick Ross),"Skrillex, Rick Ross",1992,6932
The Feeling,"Lost Frequencies, Bonn",378,1252
Bad (feat. Vassy) - Radio Edit,"David Guetta, Showtek, VASSY",6178,11635
Secrets,"Regard, RAYE",3926,17948
