Track,Artist,Listeners,Playcount
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1072966,15302351
ETA,NewJeans,621328,17217505
Bubble Gum,NewJeans,260829,4464824
It Will Rain,Bruno Mars,866253,7287660
The Nights,Avicii,871586,7964724
Skyfall,Adele,1012778,9761956
West Coast,Lana Del Rey,1453729,24766425
Danza Kuduro,"Don Omar, Lucenzo",32594,337095
Lady Killers II,G-Eazy,200552,1578887
Atlantis,Seafret,619782,6875654
Call Me Maybe,Carly Rae Jepsen,1853408,15954444
Car's Outside,James Arthur,278723,2867194
Rewrite The Stars (with James Arthur & Anne-Marie),"James Arthur, Anne-Marie",4262,21591
Reflections,The Neighbourhood,834133,12222575
LUNCH,Billie Eilish,1261197,19452792
A Sky Full of Stars,Coldplay,1158764,9969411
Get A Guitar,RIIZE,179916,2980140
Softcore,The Neighbourhood,1114289,18536452
Rolling in the Deep,Adele,2242342,22344442
The Scientist,Coldplay,2485028,23875591
Like Crazy,Jimin,346682,186126795
Always Remember Us This Way,Lady Gaga,497741,5283013
Timber,"Pitbull, Kesha",924500,5015059
Shivers,Ed Sheeran,553727,5600777
If I Ain't Got You,Alicia Keys,1078846,7157022
I'm Good (Blue),"David Guetta, Bebe Rexha",16567,98765
Diet Mountain Dew,Lana Del Rey,1537904,20010386
Bad Romance,Lady Gaga,2409822,26458165
Dancing In The Flames,The Weeknd,352341,2911492
Beggin',Måneskin,863593,8063653
Come Inside Of My Heart,IV Of Spades,235772,3328985
Daddy Issues,The Neighbourhood,1447902,22580508
Easy On Me,Adele,901700,10307895
Tumblr Girls (feat. Christoph Andersson),"G-Eazy, Christoph Andersson",4909,44381
All of Me,John Legend,1091026,8748909
On The Floor,"Jennifer Lopez, Pitbull",454377,3322474
One Dance,"Drake, Wizkid, Kyla",27457,146528
晴る,ヨルシカ,34363,307777
Dusk Till Dawn (feat. Sia) - Radio Edit,"ZAYN, Sia",9350,49919
TiK ToK,Kesha,1435306,10863337
GGUM,YEONJUN,126354,4067528
Again,Fetty Wap,362830,2232699
Something About You,"Eyedress, Dent May",22172,171790
We Found Love,"Rihanna, Calvin Harris",839985,8634214
Love In The Dark,Adele,616658,6165221
Angels Like You,Miley Cyrus,678092,9068406
